projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
228025;891217;CellMechSensE;coordinator;999978433;LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN;LMU MUENCHEN;HES;false;174806,4;DE;GESCHWISTER SCHOLL PLATZ  1;MUENCHEN;80539;www.uni-muenchen.de;DE811205325;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999978433&projectId=891217&programId=31045243;;;;;;;
228033;892667;TweeTERS;coordinator;996586343;FUNDACION IMDEA NANOCIENCIA;IMDEA NANO;REC;false;160932,48;ES;CIUDAD UNIVERSITARIA DE CANTOBLANCO - CALLE FARADAY 9;MADRID;28049;http://www.nanociencia.imdea.org/;ESG84909068;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996586343&projectId=892667&programId=31045243;;;;;;;
228028;892451;EcoScan;coordinator;999993274;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT;INRAE;REC;false;184707,84;FR;Rue De L'Universite  147;PARIS CEDEX 07;75338;www.inra.fr;FR57180070039;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993274&projectId=892451&programId=31045243;;;;;;;
228027;891826;SEAFLOWER;partner;999538247;THE UNIVERSITY OF WESTERN AUSTRALIA;IGRG, UWA;HES;false;;AU;Stirling Higway 35;CRAWLEY;6009;;;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999538247&projectId=891826&programId=31045243;;;;;;;
228027;891826;SEAFLOWER;coordinator;999993953;ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;UNIBO;HES;false;257209,92;IT;VIA ZAMBONI 33;BOLOGNA;40126;www.unibo.it;IT01131710376;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999993953&projectId=891826&programId=31045243;;;;;;;
228030;892010;YouthInMuseums;coordinator;999885701;INSTITUTO DE CIENCIAS SOCIAIS;ICS-ULisboa;HES;false;239722,56;PT;AV PROF ANIBAL DE BETTENCOURT 9;LISBOA;1600 189;www.ics.ulisboa.pt;PT506101347;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999885701&projectId=892010&programId=31045243;;;;;;;
228029;892403;LivingTogether;coordinator;999852721;THE UNIVERSITY OF SUSSEX;UOS;HES;false;287976;UK;SUSSEX HOUSE FALMER;BRIGHTON;BN1 9RH;http://www.sussex.ac.uk;GB692712320;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999852721&projectId=892403&programId=31045243;;;;;;;
228029;892403;LivingTogether;partner;898371806;MOSIM AND SALIM RESEARCH INSTITUTE;Mosim and Salim Research Institute(Center for the Web of Life);REC;false;;KR;19 SEOUN RO SEOCHO GU;SEOUL;6732;;KR2018208260;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=898371806&projectId=892403&programId=31045243;;;;;;;
228053;899155;RASATaC;coordinator;999903064;TURUN YLIOPISTO;UTU;HES;false;150000;FI;YLIOPISTONMAKI;Turku;20014;www.utu.fi;FI02458963;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999903064&projectId=899155&programId=31045243;;;;;;;
228026;891493;GeMeTIC;coordinator;999975814;UNIVERSITETET I OSLO;UiO;HES;false;202158,72;NO;PROBLEMVEIEN 5-7;OSLO;313;www.uio.no;NO971035854MVA;https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999975814&projectId=891493&programId=31045243;;;;;;;
